file_name,duration
../books/10LinesFirst.txt,0.044
../books/10LinesFirst.txt,0.053
../books/10LinesFirst.txt,0.053
../books/10LinesFirst.txt,0.03
../books/10LinesFirst.txt,0.035
../books/10LinesSecond.txt,0.044
../books/10LinesSecond.txt,0.029
../books/10LinesSecond.txt,0.057
../books/10LinesSecond.txt,0.068
../books/10LinesSecond.txt,0.047
../books/100LinesFirst.txt,0.072
../books/100LinesFirst.txt,0.069
../books/100LinesFirst.txt,0.099
../books/100LinesFirst.txt,0.088
../books/100LinesFirst.txt,0.066
../books/100LinesSecond.txt,0.093
../books/100LinesSecond.txt,0.082
../books/100LinesSecond.txt,0.063
../books/100LinesSecond.txt,0.146
../books/100LinesSecond.txt,0.1
../books/1000LinesFirst.txt,0.741
../books/1000LinesFirst.txt,0.595
../books/1000LinesFirst.txt,0.479
../books/1000LinesFirst.txt,0.512
../books/1000LinesFirst.txt,0.485
../books/1000LinesSecond.txt,0.574
../books/1000LinesSecond.txt,0.542
../books/1000LinesSecond.txt,0.51
../books/1000LinesSecond.txt,0.692
../books/1000LinesSecond.txt,0.629
../books/10000LinesFirst.txt,4.751
../books/10000LinesFirst.txt,4.939
../books/10000LinesFirst.txt,4.679
../books/10000LinesFirst.txt,5.036
../books/10000LinesFirst.txt,5.877
../books/10000LinesSecond.txt,3.519
../books/10000LinesSecond.txt,3.568
../books/10000LinesSecond.txt,3.962
../books/10000LinesSecond.txt,3.479
../books/10000LinesSecond.txt,3.801
../books/50000Lines.txt,25.223
../books/50000Lines.txt,24.858
../books/50000Lines.txt,24.495
../books/50000Lines.txt,22.951
../books/50000Lines.txt,23.096
../books/100000Lines.txt,40.219
../books/100000Lines.txt,40.45
../books/100000Lines.txt,40.298
../books/100000Lines.txt,40.491
../books/100000Lines.txt,40.259
../books/500000Lines.txt,199.623
../books/500000Lines.txt,200.688
../books/500000Lines.txt,200.814
../books/500000Lines.txt,213.552
../books/500000Lines.txt,200.614
../books/1000000Lines.txt,391.432
../books/1000000Lines.txt,392.722
../books/1000000Lines.txt,391.226
../books/1000000Lines.txt,393.848
../books/1000000Lines.txt,393.533
