file_name,duration,lines,-1,,,,,,,,,
../../books/10LinesFirst.txt,0.047,10,,,,,,,,,,
../../books/10LinesFirst.txt,0.024,,,,,,,,,,,
../../books/10LinesFirst.txt,0.019,,,,,,,,,,,
../../books/10LinesFirst.txt,0.018,,,,,,,,,,,
../../books/10LinesFirst.txt,0.019,,,,,,,,,,,
../../books/10LinesSecond.txt,0.04,,,,,,,,,,,
../../books/10LinesSecond.txt,0.041,,,,,,,,,,,
../../books/10LinesSecond.txt,0.035,,,,,,,,,,,
../../books/10LinesSecond.txt,0.027,,,,,,,,,,,
../../books/10LinesSecond.txt,0.031,,,,,,,,,,,
../../books/100LinesFirst.txt,0.06,100,,,,,,,,,,
../../books/100LinesFirst.txt,0.044,,,,,,,,,,,
../../books/100LinesFirst.txt,0.032,,,,,,,,,,,
../../books/100LinesFirst.txt,0.027,,,,,,,,,,,
../../books/100LinesFirst.txt,0.026,,,,,,,,,,,
../../books/100LinesSecond.txt,0.056,,,,,,,,,,,
../../books/100LinesSecond.txt,0.042,,,,,,,,,,,
../../books/100LinesSecond.txt,0.03,,,,,,,,,,,
../../books/100LinesSecond.txt,0.036,,,,,,,,,,,
../../books/100LinesSecond.txt,0.026,,,,,,0.047,10,,,10,0.047
../../books/1000LinesFirst.txt,0.172,1000,,,,,0.06,100,,,100,0.06
../../books/1000LinesFirst.txt,0.169,,,,,,0.172,1000,,,1000,0.172
../../books/1000LinesFirst.txt,0.18,,,,,,0.178,10000,,,10000,0.178
../../books/1000LinesFirst.txt,0.108,,,,,,6.292,50000,,,50000,6.292
../../books/1000LinesFirst.txt,0.119,,,,,,13.709,100000,,,100000,13.709
../../books/1000LinesSecond.txt,0.21,,,,,,104.335,1000000,,,1000000,104.335
../../books/1000LinesSecond.txt,0.284,,,,,,,,,,,
../../books/1000LinesSecond.txt,0.222,,,,,,,,,,,
../../books/1000LinesSecond.txt,0.122,,,,,,,,,,,
../../books/1000LinesSecond.txt,0.178,10000,,,,,,,,,,
../../books/10000LinesFirst.txt,1.731,,,,,,,,,,,
../../books/10000LinesFirst.txt,1.545,,,,,,,,,,,
../../books/10000LinesFirst.txt,1.164,,,,,,,,,,,
../../books/10000LinesFirst.txt,1.045,,,,,,,,,,,
../../books/10000LinesFirst.txt,0.991,,,,,,,,,,,
../../books/10000LinesSecond.txt,0.835,,,,,,,,,,,
../../books/10000LinesSecond.txt,0.935,,,,,,,,,,,
../../books/10000LinesSecond.txt,0.868,,,,,,,,,,,
../../books/10000LinesSecond.txt,0.755,,,,,,,,,,,
../../books/10000LinesSecond.txt,0.847,,,,,,,,,,,
../../books/50000Lines.txt,6.292,50000,,,,,,,,,,
../../books/50000Lines.txt,5.869,,,,,,,,,,,
../../books/50000Lines.txt,6.374,,,,,,,,,,,
../../books/50000Lines.txt,6.04,,,,,,,,,,,
../../books/50000Lines.txt,6.754,,,,,,,,,,,
../../books/100000Lines.txt,10.232,,,,,,,,,,,
../../books/100000Lines.txt,12.45,,,,,,,,,,,
../../books/100000Lines.txt,10.094,,,,,,,,,,,
../../books/100000Lines.txt,10.738,,,,,,,,,,,
../../books/100000Lines.txt,13.709,100000,,,,,,,,,,
../../books/500000Lines.txt,50.904,,,,,,,,,,,
../../books/500000Lines.txt,50.289,,,,,,,,,,,
../../books/500000Lines.txt,49.83,,,,,,,,,,,
../../books/500000Lines.txt,50.55,,,,,,,,,,,
../../books/500000Lines.txt,50.738,500000,,,,,,,,,,
../../books/1000000Lines.txt,104.335,1000000,,,,,,,,,,
../../books/1000000Lines.txt,104.758,,,,,,,,,,,
../../books/1000000Lines.txt,109.024,,,,,,,,,,,
../../books/1000000Lines.txt,102.779,,,,,,,,,,,
../../books/1000000Lines.txt,103.127,,,,,,,,,,,
