file_name,num_lines,total_comps,patterns_found,false_positives,avg_line_length,word3,101
../../books/10LinesFirst.txt,10,384,26,0,35,
../../books/10LinesSecond.txt,10,376,25,0,35,
../../books/100LinesFirst.txt,100,4878,277,0,46,
../../books/100LinesSecond.txt,100,4637,253,0,43,
../../books/1000LinesFirst.txt,1000,51616,3031,0,48,
../../books/1000LinesSecond.txt,1000,55116,3315,0,51,
../../books/10000LinesFirst.txt,10000,575472,32891,0,54,
../../books/10000LinesSecond.txt,10000,414832,23428,0,39,
../../books/50000Lines.txt,50007,2846715,156239,1,53,
../../books/100000Lines.txt,100000,5040704,286821,0,47,
../../books/500000Lines.txt,500000,25836201,1441298,781,48,
../../books/1000000Lines.txt,1000000,50407040,2868210,0,47,
