file_name,num_lines,total_comps,patterns_found,false_positives,avg_line_length,word2,-1
../../books/10LinesFirst.txt,10,384,8,340,35
../../books/10LinesSecond.txt,10,371,4,337,35
../../books/100LinesFirst.txt,100,4935,64,4458,46
../../books/100LinesSecond.txt,100,4690,50,4258,43
../../books/1000LinesFirst.txt,1000,51929,704,47080,48
../../books/1000LinesSecond.txt,1000,55180,675,50295,51
../../books/10000LinesFirst.txt,10000,583834,7498,526564,54
../../books/10000LinesSecond.txt,10000,418225,5615,378506,39
../../books/50000Lines.txt,50007,2879234,35739,2604729,53
../../books/100000Lines.txt,100000,5075857,57709,4618062,47
../../books/500000Lines.txt,500000,26153752,341283,23643650,48
../../books/1000000Lines.txt,1000000,50758570,577090,46180620,47
