file_name,num_lines,total_comps,patterns_found,false_positives,avg_line_length,word2,101
../../books/10LinesFirst.txt,10,365,8,3,35,
../../books/10LinesSecond.txt,10,344,4,1,35,
../../books/100LinesFirst.txt,100,4652,64,17,46,
../../books/100LinesSecond.txt,100,4411,50,29,43,
../../books/1000LinesFirst.txt,1000,49437,704,342,48,
../../books/1000LinesSecond.txt,1000,52490,675,326,51,
../../books/10000LinesFirst.txt,10000,552049,7498,4007,54,
../../books/10000LinesSecond.txt,10000,396652,5615,2922,39,
../../books/50000Lines.txt,50007,2726954,35739,21081,53,
../../books/100000Lines.txt,100000,4805842,57709,35052,47,
../../books/500000Lines.txt,500000,24763531,341283,162976,48,
../../books/1000000Lines.txt,1000000,48058420,577090,350520,47,
