file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,theh,-1
11,1,1,2,0,0
11,1,1,2,0,0
11,1,1,2,0,0
11,1,1,2,0,0
11,1,1,2,0,0
11,3,1,4,1,0
11,3,1,4,1,0
11,3,1,4,1,0
11,3,1,4,1,0
11,3,1,4,1,0
101,6,1,7,1,0
101,6,1,7,1,0
101,6,1,7,1,0
101,6,1,7,1,0
101,6,1,7,1,0
101,4,1,5,0,0
101,4,1,5,0,0
101,4,1,5,0,0
101,4,1,5,0,0
101,4,1,5,0,0
1046,128,1,129,26,0
1046,128,1,129,26,0
1046,128,1,129,26,0
1046,128,1,129,26,0
1046,128,1,129,26,0
1068,103,1,104,15,0
1068,103,1,104,15,0
1068,103,1,104,15,0
1068,103,1,104,15,0
1068,103,1,104,15,0
10183,664,1,665,88,0
10183,664,1,665,88,0
10183,664,1,665,88,0
10183,664,1,665,88,0
10183,664,1,665,88,0
10745,703,1,704,98,0
10745,703,1,704,98,0
10745,703,1,704,98,0
10745,703,1,704,98,0
10745,703,1,704,98,0
48733,3867,1,3868,679,0
48733,3867,1,3868,679,0
48733,3867,1,3868,679,0
48733,3867,1,3868,679,0
48733,3867,1,3868,679,0
187153,15073,1,15074,2470,0
187153,15073,1,15074,2470,0
187153,15073,1,15074,2470,0
187153,15073,1,15074,2470,0
187153,15073,1,15074,2470,0
559618,40263,1,40264,6410,0
559618,40263,1,40264,6410,0
559618,40263,1,40264,6410,0
559618,40263,1,40264,6410,0
559618,40263,1,40264,6410,0
1010777,75802,1,75803,12422,0
1010777,75802,1,75803,12422,0
1010777,75802,1,75803,12422,0
1010777,75802,1,75803,12422,0
1010777,75802,1,75803,12422,0
395529,30953,1,30954,5615,0
395529,30953,1,30954,5615,0
395529,30953,1,30954,5615,0
395529,30953,1,30954,5615,0
395529,30953,1,30954,5615,0
2665788,196580,1,196581,35739,0
2665788,196580,1,196581,35739,0
2665788,196580,1,196581,35739,0
2665788,196580,1,196581,35739,0
2665788,196580,1,196581,35739,0
4808754,353749,1,353750,57709,0
4808754,353749,1,353750,57709,0
4808754,353749,1,353750,57709,0
4808754,353749,1,353750,57709,0
4808754,353749,1,353750,57709,0
24652312,1871012,1,1871013,341283,0
24652312,1871012,1,1871013,341283,0
24652312,1871012,1,1871013,341283,0
24652312,1871012,1,1871013,341283,0
24652312,1871012,1,1871013,341283,0
48087540,3537490,1,3537491,577090,0
48087540,3537490,1,3537491,577090,0
48087540,3537490,1,3537491,577090,0
48087540,3537490,1,3537491,577090,0
48087540,3537490,1,3537491,577090,0
