str_len,pat_len,duration,ex1,-1
13,10,0.0012
13,10,0.0007
13,10,0.0007
13,10,0.0006
13,10,0.0009
101,10,0.001
101,10,0.001
101,10,0.001
101,10,0.001
101,10,0.001
1045,10,0.0021
1045,10,0.0023
1045,10,0.0024
1045,10,0.0025
1045,10,0.0016
48733,10,0.0408
48733,10,0.0615
48733,10,0.0615
48733,10,0.0514
48733,10,0.0617
10183,10,0.0192
10183,10,0.0092
10183,10,0.0093
10183,10,0.0093
10183,10,0.0257
185919,10,0.2438
185919,10,0.1848
185919,10,0.153
185919,10,0.1533
185919,10,0.1535
559618,10,0.5083
559618,10,0.4684
559618,10,0.4622
559618,10,0.4869
559618,10,0.4847
1010777,10,0.9206
1010777,10,0.8956
1010777,10,0.9058
1010777,10,0.8476
1010777,10,0.9974
2665788,10,3.0403
2665788,10,2.723
2665788,10,3.145
2665788,10,2.4524
2665788,10,2.5121
4808754,10,4.2143
4808754,10,4.3703
4808754,10,4.5602
4808754,10,4.8119
4808754,10,4.1047
24652312,10,21.9963
24652312,10,22.4132
24652312,10,22.1922
24652312,10,22.6107
24652312,10,22.1271
48087540,10,43.2858
48087540,10,43.7838
48087540,10,43.6299
48087540,10,43.6796
48087540,10,42.9125
