file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,word10,-1
13,0,1,1,0,0,,,
101,2,1,3,0,0,,,
1045,9,1,10,0,0,,,
48733,575,1,576,0,0,,,
10183,113,1,114,0,0,,,
185919,2080,1,2081,3,0,,,
559618,5967,1,5968,5,0,,,
1010777,10924,1,10925,12,0,,,
2665788,30804,1,30805,50,0,,,
4808754,54106,1,54107,37,0,,,
24652312,284698,1,284699,110,0,,,
48087540,541069,1,541070,370,0,,,
