str_len,pat_len,duration,example1,-1
13,29,0.0073
13,29,0.0026
13,29,0.0033
13,29,0.0033
13,29,0.0123
101,29,0.0036
101,29,0.0031
101,29,0.0025
101,29,0.0025
101,29,0.0025
1045,29,0.0056
1045,29,0.0045
1045,29,0.0046
1045,29,0.0046
1045,29,0.0047
48733,29,0.108
48733,29,0.0995
48733,29,0.1225
48733,29,0.1501
48733,29,0.1266
10183,29,0.024
10183,29,0.029
10183,29,0.0239
10183,29,0.0222
10183,29,0.0258
185919,29,0.428
185919,29,0.3618
185919,29,0.3911
185919,29,0.5133
185919,29,0.3598
559618,29,0.9863
559618,29,1.0155
559618,29,1.2975
559618,29,1.1878
559618,29,1.0896
1010777,29,1.8522
1010777,29,2.3368
1010777,29,1.8742
1010777,29,1.9263
1010777,29,5.6342
2665788,29,19.4993
2665788,29,5.94
2665788,29,5.9655
2665788,29,5.1566
2665788,29,5.5244
4808754,29,8.908
